"","plate","wellLetter","wellRow","wellNumber","well","crab","crabID","chamber","Location","date"
"1","W24_202","A",4,1,"A1","X_44","CH05_X_44_2024_02_06_treat_j_h","CH05","CH05_W24_202_A1","2024_02_06"
"2","W24_202","A",4,2,"A2","X_35","CH05_X_35_2024_02_06_treat_j_h","CH05","CH05_W24_202_A2","2024_02_06"
"3","W24_202","A",4,3,"A3","X_41","CH05_X_41_2024_02_06_treat_j_h","CH05","CH05_W24_202_A3","2024_02_06"
"4","W24_202","A",4,4,"A4","X_15","CH05_X_15_2024_02_06_treat_j_h","CH05","CH05_W24_202_A4","2024_02_06"
"5","W24_202","A",4,5,"A5","X_34","CH05_X_34_2024_02_06_treat_j_h","CH05","CH05_W24_202_A5","2024_02_06"
"6","W24_202","A",4,6,"A6","X_36","CH05_X_36_2024_02_06_treat_j_h","CH05","CH05_W24_202_A6","2024_02_06"
"7","W24_202","B",3,1,"B1","X_11","CH05_X_11_2024_02_06_treat_j_h","CH05","CH05_W24_202_B1","2024_02_06"
"8","W24_202","B",3,2,"B2","X_17","CH05_X_17_2024_02_06_treat_j_h","CH05","CH05_W24_202_B2","2024_02_06"
"9","W24_202","B",3,3,"B3","X_9","CH05_X_9_2024_02_06_treat_j_h","CH05","CH05_W24_202_B3","2024_02_06"
"10","W24_202","B",3,4,"B4","X_25","CH05_X_25_2024_02_06_treat_j_h","CH05","CH05_W24_202_B4","2024_02_06"
"11","W24_202","B",3,5,"B5","X_24","CH05_X_24_2024_02_06_treat_j_h","CH05","CH05_W24_202_B5","2024_02_06"
"12","W24_202","B",3,6,"B6","X_46","CH05_X_46_2024_02_06_treat_j_h","CH05","CH05_W24_202_B6","2024_02_06"
"13","W24_202","C",2,1,"C1","X_6","CH05_X_6_2024_02_06_treat_j_h","CH05","CH05_W24_202_C1","2024_02_06"
"14","W24_202","C",2,2,"C2","X_14","CH05_X_14_2024_02_06_treat_j_h","CH05","CH05_W24_202_C2","2024_02_06"
"15","W24_202","C",2,3,"C3","X_37","CH05_X_37_2024_02_06_treat_j_h","CH05","CH05_W24_202_C3","2024_02_06"
"16","W24_202","C",2,4,"C4","X_18","CH05_X_18_2024_02_06_treat_j_h","CH05","CH05_W24_202_C4","2024_02_06"
"17","W24_202","C",2,5,"C5","X_33","CH05_X_33_2024_02_06_treat_j_h","CH05","CH05_W24_202_C5","2024_02_06"
"18","W24_202","C",2,6,"C6","X_48","CH05_X_48_2024_02_06_treat_j_h","CH05","CH05_W24_202_C6","2024_02_06"
"19","W24_202","D",1,1,"D1","X_45","CH05_X_45_2024_02_06_treat_j_h","CH05","CH05_W24_202_D1","2024_02_06"
"20","W24_202","D",1,2,"D2","X_30","CH05_X_30_2024_02_06_treat_j_h","CH05","CH05_W24_202_D2","2024_02_06"
"21","W24_202","D",1,3,"D3","X_20","CH05_X_20_2024_02_06_treat_j_h","CH05","CH05_W24_202_D3","2024_02_06"
"22","W24_202","D",1,4,"D4","X_39","CH05_X_39_2024_02_06_treat_j_h","CH05","CH05_W24_202_D4","2024_02_06"
"23","W24_202","D",1,5,"D5","X_21","CH05_X_21_2024_02_06_treat_j_h","CH05","CH05_W24_202_D5","2024_02_06"
"24","W24_202","D",1,6,"D6","X_27","CH05_X_27_2024_02_06_treat_j_h","CH05","CH05_W24_202_D6","2024_02_06"
"25","W24_365","A",4,1,"A1","X_23","CH05_X_23_2024_02_06_treat_j_h","CH05","CH05_W24_365_A1","2024_02_06"
"26","W24_365","A",4,2,"A2","X_16","CH05_X_16_2024_02_06_treat_j_h","CH05","CH05_W24_365_A2","2024_02_06"
"27","W24_365","A",4,3,"A3","X_19","CH05_X_19_2024_02_06_treat_j_h","CH05","CH05_W24_365_A3","2024_02_06"
"28","W24_365","A",4,4,"A4","X_28","CH05_X_28_2024_02_06_treat_j_h","CH05","CH05_W24_365_A4","2024_02_06"
"29","W24_365","A",4,5,"A5","X_2","CH05_X_2_2024_02_06_treat_j_h","CH05","CH05_W24_365_A5","2024_02_06"
"30","W24_365","A",4,6,"A6","X_1","CH05_X_1_2024_02_06_treat_j_h","CH05","CH05_W24_365_A6","2024_02_06"
"31","W24_365","B",3,1,"B1","X_5","CH05_X_5_2024_02_06_treat_j_h","CH05","CH05_W24_365_B1","2024_02_06"
"32","W24_365","B",3,2,"B2","X_3","CH05_X_3_2024_02_06_treat_j_h","CH05","CH05_W24_365_B2","2024_02_06"
"33","W24_365","B",3,3,"B3","X_12","CH05_X_12_2024_02_06_treat_j_h","CH05","CH05_W24_365_B3","2024_02_06"
"34","W24_365","B",3,4,"B4","X_31","CH05_X_31_2024_02_06_treat_j_h","CH05","CH05_W24_365_B4","2024_02_06"
"35","W24_365","B",3,5,"B5","X_4","CH05_X_4_2024_02_06_treat_j_h","CH05","CH05_W24_365_B5","2024_02_06"
"36","W24_365","B",3,6,"B6","X_42","CH05_X_42_2024_02_06_treat_j_h","CH05","CH05_W24_365_B6","2024_02_06"
"37","W24_365","C",2,1,"C1","X_32","CH05_X_32_2024_02_06_treat_j_h","CH05","CH05_W24_365_C1","2024_02_06"
"38","W24_365","C",2,2,"C2","X_10","CH05_X_10_2024_02_06_treat_j_h","CH05","CH05_W24_365_C2","2024_02_06"
"39","W24_365","C",2,3,"C3","X_40","CH05_X_40_2024_02_06_treat_j_h","CH05","CH05_W24_365_C3","2024_02_06"
"40","W24_365","C",2,4,"C4","X_26","CH05_X_26_2024_02_06_treat_j_h","CH05","CH05_W24_365_C4","2024_02_06"
"41","W24_365","C",2,5,"C5","X_38","CH05_X_38_2024_02_06_treat_j_h","CH05","CH05_W24_365_C5","2024_02_06"
"42","W24_365","C",2,6,"C6","X_29","CH05_X_29_2024_02_06_treat_j_h","CH05","CH05_W24_365_C6","2024_02_06"
"43","W24_365","D",1,1,"D1","X_7","CH05_X_7_2024_02_06_treat_j_h","CH05","CH05_W24_365_D1","2024_02_06"
"44","W24_365","D",1,2,"D2","X_8","CH05_X_8_2024_02_06_treat_j_h","CH05","CH05_W24_365_D2","2024_02_06"
"45","W24_365","D",1,3,"D3","X_22","CH05_X_22_2024_02_06_treat_j_h","CH05","CH05_W24_365_D3","2024_02_06"
"46","W24_365","D",1,4,"D4","X_13","CH05_X_13_2024_02_06_treat_j_h","CH05","CH05_W24_365_D4","2024_02_06"
"47","W24_365","D",1,5,"D5","X_43","CH05_X_43_2024_02_06_treat_j_h","CH05","CH05_W24_365_D5","2024_02_06"
"48","W24_365","D",1,6,"D6","X_47","CH05_X_47_2024_02_06_treat_j_h","CH05","CH05_W24_365_D6","2024_02_06"
